record_index,phase,phase_update,loss,reward,final_correctness,kl,keep_rate,mean_completion_length
1,phase_i_0_500,1,1.49e-08,0.06121,0.05,0.0,0.5,559.0
2,phase_i_0_500,2,5.597e-05,0.5378,0.5,0.001398,1.0,226.2
3,phase_i_0_500,3,9.391e-05,0.5719,0.5,0.002348,1.0,305.8
4,phase_i_0_500,4,8.671e-05,0.1511,0.125,0.002167,0.6667,383.4
5,phase_i_0_500,5,5.188e-05,0.0,0.0,0.001297,0.0,389.2
6,phase_i_0_500,6,8.155e-05,0.1088,0.1,0.002039,0.5,551.4
7,phase_i_0_500,7,6.488e-05,0.2398,0.25,0.001623,1.0,474.0
8,phase_i_0_500,8,4.847e-05,0.0,0.0,0.001212,0.0,358.5
9,phase_i_0_500,9,5.982e-05,0.0,0.0,0.001496,0.0,493.6
10,phase_i_0_500,10,9.12e-05,0.08333,0.1,0.00228,0.5,330.6
11,phase_i_0_500,11,6.023e-05,0.0,0.0,0.001506,0.0,282.2
12,phase_i_0_500,12,7.625e-05,0.1952,0.15,0.001906,0.5,336.1
13,phase_i_0_500,13,9.307e-05,0.02749,0.03571,0.002327,0.1667,379.2
14,phase_i_0_500,14,5.692e-05,0.04442,0.04167,0.001423,0.25,459.3
15,phase_i_0_500,15,6.205e-05,0.1298,0.15,0.001551,0.5,444.4
16,phase_i_0_500,16,5.579e-05,0.1625,0.15,0.001395,0.5,247.9
17,phase_i_0_500,17,8.558e-05,0.2115,0.25,0.002139,0.75,440.3
18,phase_i_0_500,18,9.76e-05,0.3668,0.375,0.002441,1.0,203.6
19,phase_i_0_500,19,9.684e-05,0.2677,0.25,0.002422,0.75,208.8
20,phase_i_0_500,20,0.0001935,0.05313,0.05,0.004839,0.5,395.4
21,phase_i_0_500,21,0.0001126,0.42,0.5,0.002815,1.0,240.8
22,phase_i_0_500,22,0.000136,0.1078,0.1,0.003401,0.5,432.0
23,phase_i_0_500,23,7.983e-05,0.08304,0.1,0.001996,0.5,285.9
24,phase_i_0_500,24,6.978e-05,0.3162,0.25,0.001745,0.75,404.9
25,phase_i_0_500,25,7.603e-05,0.1271,0.15,0.001901,0.5,177.5
26,phase_i_0_500,26,6.498e-05,0.5559,0.5,0.001624,1.0,199.2
27,phase_i_0_500,27,0.000103,0.3787,0.35,0.002576,0.4167,370.1
28,phase_i_0_500,28,4.842e-05,0.4304,0.4167,0.00121,0.75,282.7
29,phase_i_0_500,29,0.0001332,0.1769,0.1875,0.003331,0.6667,448.6
30,phase_i_0_500,30,8.709e-05,0.1639,0.15,0.002178,0.5,344.6
31,phase_i_0_500,31,0.0001003,0.06071,0.07143,0.002509,0.2917,347.0
32,phase_i_0_500,32,5.018e-05,0.5249,0.4167,0.001255,0.75,302.4
33,phase_i_0_500,33,8.353e-05,0.1937,0.15,0.002088,0.5,294.8
34,phase_i_0_500,34,5.443e-05,0.05867,0.05,0.00136,0.5,185.2
35,phase_i_0_500,35,8.58e-05,0.03932,0.05,0.002145,0.5,176.4
36,phase_i_0_500,36,8.346e-05,0.1149,0.1,0.002086,0.5,310.1
37,phase_i_0_500,37,6.8e-05,0.05211,0.04167,0.001701,0.25,457.7
38,phase_i_0_500,38,8.538e-05,0.1649,0.15,0.002135,0.625,325.4
39,phase_i_0_500,39,0.0001038,0.9044,0.75,0.002596,1.0,317.1
40,phase_i_0_500,40,9.48e-05,0.7015,0.5625,0.002371,0.5,288.6
41,phase_i_0_500,41,0.0001174,0.04488,0.04167,0.002936,0.25,287.8
42,phase_i_0_500,42,6.118e-05,0.04493,0.05,0.00153,0.5,414.9
43,phase_i_0_500,43,0.0001073,0.4166,0.5,0.002683,1.0,410.8
44,phase_i_0_500,44,7.154e-05,0.4411,0.3929,0.001788,0.1667,231.4
45,phase_i_0_500,45,8.622e-05,0.05734,0.05,0.002156,0.5,456.0
46,phase_i_0_500,46,4.317e-05,0.1262,0.125,0.001079,0.3333,431.3
47,phase_i_0_500,47,0.0001306,0.0883,0.1,0.003264,0.5,325.8
48,phase_i_0_500,48,0.000131,0.5957,0.5,0.003276,1.0,279.9
49,phase_i_0_500,49,8.674e-05,0.1847,0.1875,0.002168,0.5,301.0
50,phase_i_0_500,50,0.0001116,0.0,0.0,0.00279,0.0,414.6
51,phase_i_0_500,51,0.0001441,0.05868,0.05,0.003603,0.5,430.7
52,phase_i_0_500,52,9.336e-05,0.4749,0.5,0.002335,1.0,335.4
53,phase_i_0_500,53,0.0001158,0.0,0.0,0.002896,0.0,215.4
54,phase_i_0_500,54,0.0001054,0.1608,0.15,0.002635,0.5,432.0
55,phase_i_0_500,55,6.385e-05,0.2281,0.25,0.001596,0.75,539.8
56,phase_i_0_500,56,7.384e-05,0.4247,0.375,0.001845,1.0,298.0
57,phase_i_0_500,57,0.0001367,0.8244,0.75,0.003415,1.0,224.5
58,phase_i_0_500,58,8.108e-05,0.888,0.75,0.002027,1.0,273.5
59,phase_i_0_500,59,0.0001661,0.4008,0.375,0.004152,1.0,226.1
60,phase_i_0_500,60,0.0001335,0.4596,0.375,0.003337,1.0,249.4
61,phase_i_0_500,61,0.0001163,0.1371,0.15,0.002907,0.5,462.8
62,phase_i_0_500,62,9.231e-05,0.04248,0.05,0.002308,0.5,336.5
63,phase_i_0_500,63,7.55e-05,0.0,0.0,0.001887,0.0,444.1
64,phase_i_0_500,64,8.518e-05,0.2002,0.1875,0.002129,0.6667,354.9
65,phase_i_0_500,65,9.665e-05,0.2361,0.25,0.002416,1.0,473.0
66,phase_i_0_500,66,0.0001007,0.05153,0.04167,0.002516,0.25,431.0
67,phase_i_0_500,67,0.0001079,0.3646,0.375,0.002698,1.0,137.5
68,phase_i_0_500,68,0.0001161,0.04543,0.04167,0.002903,0.25,352.5
69,phase_i_0_500,69,0.0003254,0.6519,0.625,0.008136,1.0,208.1
70,phase_i_0_500,70,5.851e-05,0.677,0.75,0.001463,1.0,245.2
71,phase_i_0_500,71,0.0001758,0.04805,0.04167,0.004396,0.25,472.8
72,phase_i_0_500,72,5.437e-05,0.4453,0.3929,0.001359,0.1667,429.0
73,phase_i_0_500,73,0.0001065,0.0,0.0,0.002663,0.0,304.1
74,phase_i_0_500,74,0.0001456,0.1864,0.1875,0.003641,0.6667,326.0
75,phase_i_0_500,75,7.524e-05,0.09323,0.1,0.00188,0.5,592.1
76,phase_i_0_500,76,0.0001401,0.479,0.5,0.003503,0.6667,278.4
77,phase_i_0_500,77,9.453e-05,0.05231,0.05,0.002363,0.5,292.6
78,phase_i_0_500,78,9.243e-05,0.09647,0.1,0.00231,0.5,326.8
79,phase_i_0_500,79,8.916e-05,0.09562,0.1,0.002229,0.5,399.4
80,phase_i_0_500,80,0.0002118,0.05477,0.05,0.005297,0.5,301.3
81,phase_i_0_500,81,0.0001291,0.3322,0.3333,0.003229,0.75,309.2
82,phase_i_0_500,82,9.862e-05,0.1846,0.15,0.002466,0.5,322.4
83,phase_i_0_500,83,0.0001404,0.7454,0.625,0.003511,1.0,368.1
84,phase_i_0_500,84,8.654e-05,0.6477,0.625,0.002164,1.0,427.8
85,phase_i_0_500,85,0.000146,0.1282,0.1,0.003649,0.5,256.6
86,phase_i_0_500,86,8.76e-05,0.1883,0.15,0.00219,0.5,304.9
87,phase_i_0_500,87,0.0006863,0.0,0.0,0.01716,0.0,260.2
88,phase_i_0_500,88,0.0001643,0.0,0.0,0.004108,0.0,253.4
89,phase_i_0_500,89,0.0001715,0.1447,0.1875,0.004288,0.6667,392.2
90,phase_i_0_500,90,6.955e-05,0.0,0.0,0.001739,0.0,257.4
91,phase_i_0_500,91,8.182e-05,0.0,0.0,0.002046,0.0,257.2
92,phase_i_0_500,92,0.0001288,0.11,0.125,0.003221,0.5,418.0
93,phase_i_0_500,93,0.0001192,0.05474,0.05,0.00298,0.5,533.8
94,phase_i_0_500,94,8.583e-05,0.09531,0.1,0.002146,0.5,379.2
95,phase_i_0_500,95,0.0001428,0.5636,0.5,0.003569,1.0,270.0
96,phase_i_0_500,96,0.0001018,0.5723,0.5,0.002544,1.0,177.2
97,phase_i_0_500,97,8.52e-05,0.2037,0.15,0.00213,0.5,264.9
98,phase_i_0_500,98,0.0001164,0.6178,0.625,0.002911,1.0,440.2
99,phase_i_0_500,99,0.0001357,0.2491,0.25,0.003392,0.25,325.2
100,phase_i_0_500,100,9.502e-05,0.0,0.0,0.002375,0.0,381.8
101,phase_i_0_500,101,0.0001855,0.1855,0.1875,0.004638,0.5,308.6
102,phase_i_0_500,102,0.0001275,0.0,0.0,0.003188,0.0,317.0
103,phase_i_0_500,103,0.000106,0.0287,0.03571,0.00265,0.1667,362.1
104,phase_i_0_500,104,0.0001979,0.03633,0.04167,0.004947,0.25,206.8
105,phase_i_0_500,105,0.0002165,0.04635,0.04167,0.005413,0.25,249.8
106,phase_i_0_500,106,0.0002168,0.1231,0.1,0.005421,0.5,276.8
107,phase_i_0_500,107,0.0002543,0.9231,0.75,0.006356,0.75,239.4
108,phase_i_0_500,108,0.0001626,0.3798,0.375,0.004065,1.0,253.2
109,phase_i_0_500,109,0.0001988,0.5205,0.5,0.004969,1.0,288.2
110,phase_i_0_500,110,0.0001511,0.2036,0.25,0.003779,0.75,368.6
111,phase_i_0_500,111,0.0001043,0.09969,0.1,0.002607,0.5,311.6
112,phase_i_0_500,112,0.0001287,0.04124,0.04167,0.003218,0.25,447.0
113,phase_i_0_500,113,0.0001658,0.346,0.2917,0.004144,0.25,203.0
114,phase_i_0_500,114,0.0001664,0.4073,0.4,0.00416,0.4167,223.3
115,phase_i_0_500,115,0.0001488,0.0,0.0,0.00372,0.0,402.2
